model,status,selected,accuracy,roc_auc,selection_score,train_rows,test_rows,feature_count,error
extra_trees,success,True,0.5426976249556895,0.5375524021618379,0.5375524021618379,224061,56420,25,
random_forest,success,False,0.5254342431761787,0.5301230618758066,0.5301230618758066,224061,56420,25,
gradient_boosting,success,False,0.5367068415455513,0.5238534152986183,0.5238534152986183,224061,56420,25,
