date,ticker,stock_name,source,title,summary,content,url,sentiment_score,sentiment_label
2026-06-01,2204.TW,中華,Yahoo股市-最新新聞,永冠-KY 公告本公司中華民國境內第四次無擔保轉換公司債(簡稱：永冠四KY，代碼：15894)債券持有人行使賣回權相關事宜(清償方案未獲本次債權人會議...,公開資訊觀測站重大訊息公告(1589)永冠-KY-公告本公司中華民國境內第四次無擔保轉換公司債(簡稱：永冠四KY，代碼：15894)債券持有人行使賣回權相關事宜(清償方案未獲本次債權人會議決議通過)1,,https://tw.stock.yahoo.com/news/%E6%B0%B8%E5%86%A0-ky-%E5%85%AC%E5%91%8A%E6%9C%AC%E5%85%AC%E5%8F%B8%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%A2%83%E5%85%A7%E7%AC%AC%E5%9B%9B%E6%AC%A1%E7%84%A1%E6%93%94%E4%BF%9D%E8%BD%89%E6%8F%9B%E5%85%AC%E5%8F%B8%E5%82%B5-%E7%B0%A1%E7%A8%B1-%E6%B0%B8%E5%86%A0%E5%9B%9Bky-133300028.html,0.0,neutral
2026-06-01,2204.TW,中華,Yahoo股市-最新新聞,跨國販嬰案受害者 46年後取得我國籍,46年前被母親出養給澳洲家庭的台灣女子王雯（Vanessa Miles）今天(1日) 於駐雪梨辦事處領取中華民國護照。 萬里尋親記 王雯在領取新護照時與駐雪梨辦事處處長吳正偉會晤；吳正偉向王雯說明，指,,https://tw.news.yahoo.com/%E8%B7%A8%E5%9C%8B%E8%B2%A9%E5%AC%B0%E6%A1%88%E5%8F%97%E5%AE%B3%E8%80%85-46%E5%B9%B4%E5%BE%8C%E5%8F%96%E5%BE%97%E6%88%91%E5%9C%8B%E7%B1%8D-130854788.html,0.0,neutral
2026-06-01,2308.TW,台達電,Yahoo股市-台股動態,賣房子小賺 買台積電大賺！皇翔靠這3檔飆股比本業多賺2.6億,近年房地產推案受大環境影響，但皇翔建設卻透過投資台積電、台達電與南亞科等股票，2025年大賺約9.48億元，相較去年淨利6.81億元，投資股票比本業還賺錢。皇翔1日召開股東會，董事長廖年吉因有事不克出,,https://tw.news.yahoo.com/%E8%B3%A3%E6%88%BF%E5%AD%90%E5%B0%8F%E8%B3%BA-%E8%B2%B7%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%A4%A7%E8%B3%BA-%E7%9A%87%E7%BF%94%E9%9D%A0%E9%80%993%E6%AA%94%E9%A3%86%E8%82%A1%E6%AF%94%E6%9C%AC%E6%A5%AD%E5%A4%9A%E8%B3%BA2-6%E5%84%84-114936990.html,0.0,neutral
2026-06-01,2317.TW,鴻海,Yahoo股市-台股動態,[Computex 2026] 鴻華先進攜聯發科技、NVIDIA策略合作！導入天璣汽車C-X1平台打造AI智慧座艙,聯發科技今日宣布與鴻海集團旗下的鴻華先進（FOXTRON）策略合作，攜手加速AI賦能智慧汽車的創新演進。在此次的全球長期合作之下，策略合作夥伴生態系之高階車種將導入整合NVIDIA先進GPU與AI技術,,https://autos.yahoo.com.tw/news/computex-2026-%E9%B4%BB%E8%8F%AF%E5%85%88%E9%80%B2%E6%94%9C%E8%81%AF%E7%99%BC%E7%A7%91%E6%8A%80%E3%80%81nvidia%E7%AD%96%E7%95%A5%E5%90%88%E4%BD%9C%EF%BC%81%E5%B0%8E%E5%85%A5%E5%A4%A9%E7%92%A3%E6%B1%BD%E8%BB%8Ac-x1%E5%B9%B3%E5%8F%B0%E6%89%93%E9%80%A0ai%E6%99%BA%E6%85%A7%E5%BA%A7%E8%89%99-125225076.html,0.0,neutral
2026-06-01,2317.TW,鴻海,Yahoo股市-台股動態,鴻海攻歐洲先進封裝 法國合資公司目標2033年產5000萬顆SIP元件,鴻海攻歐洲先進封裝 法國合資公司目標 2033 年產 5000 萬顆 SIP 元件,,https://tw.stock.yahoo.com/news/%E9%B4%BB%E6%B5%B7%E6%94%BB%E6%AD%90%E6%B4%B2%E5%85%88%E9%80%B2%E5%B0%81%E8%A3%9D-%E6%B3%95%E5%9C%8B%E5%90%88%E8%B3%87%E5%85%AC%E5%8F%B8%E7%9B%AE%E6%A8%992033%E5%B9%B4%E7%94%A25000%E8%90%AC%E9%A1%86sip%E5%85%83%E4%BB%B6-124223256.html,0.0,neutral
2026-06-01,2317.TW,鴻海,Yahoo股市-台股動態,鴻海歐洲布局再下一城 攻先進封裝與AI基礎設施,鴻海擴大歐洲布局，1日宣布兩項合作計畫，除攜手法國Radiall及Thales成立先進封裝合資公司Tessalia，目標2033年前年產逾5000萬顆系統級封裝(SiP)元件外，也與AI及高效能運算業,,https://tw.news.yahoo.com/%E9%B4%BB%E6%B5%B7%E6%AD%90%E6%B4%B2%E5%B8%83%E5%B1%80%E5%86%8D%E4%B8%8B-%E5%9F%8E-%E6%94%BB%E5%85%88%E9%80%B2%E5%B0%81%E8%A3%9D%E8%88%87ai%E5%9F%BA%E7%A4%8E%E8%A8%AD%E6%96%BD-114432705.html,0.0,neutral
2026-06-01,2317.TW,鴻海,Yahoo股市-台股動態,不當AI局外人！鴻海聯手法國政府砸42億台幣 搶進歐洲主權AI市場,鴻海宣布，與法國政府旗下高效能運算暨AI基礎建業者Bull建立合作關係，雙方將攜手生產AI與雲端基礎設施，以耕耘歐洲及全球市場需求，此項合作將結合Bull在AI系統設計、部署、市場推廣的優勢，與鴻海的,,https://tw.news.yahoo.com/%E4%B8%8D%E7%95%B6ai%E5%B1%80%E5%A4%96%E4%BA%BA-%E9%B4%BB%E6%B5%B7%E8%81%AF%E6%89%8B%E6%B3%95%E5%9C%8B%E6%94%BF%E5%BA%9C%E7%A0%B842%E5%84%84%E5%8F%B0%E5%B9%A3-%E6%90%B6%E9%80%B2%E6%AD%90%E6%B4%B2%E4%B8%BB%E6%AC%8Aai%E5%B8%82%E5%A0%B4-114300402.html,0.0,neutral
2026-06-01,2317.TW,鴻海,Yahoo股市-台股動態,〈COMPUTEX〉聯發科車用晶片報捷 天璣汽車座艙平台C-X1打進鴻華先進,聯發科 (2454-TW) 今 (1) 日宣布與鴻海 (2317-TW) 旗下的鴻華先進 (FOXTRON) 策略合作，攜手加速 AI 賦能智慧汽車的創新演進。在此次的全球長期合作之下，策略合作夥伴生,,https://tw.stock.yahoo.com/news/computex-%E8%81%AF%E7%99%BC%E7%A7%91%E8%BB%8A%E7%94%A8%E6%99%B6%E7%89%87%E5%A0%B1%E6%8D%B7-%E5%A4%A9%E7%92%A3%E6%B1%BD%E8%BB%8A%E5%BA%A7%E8%89%99%E5%B9%B3%E5%8F%B0c-x1%E6%89%93%E9%80%B2%E9%B4%BB%E8%8F%AF%E5%85%88%E9%80%B2-105527307.html,0.0,neutral
2026-06-01,2317.TW,鴻海,Yahoo股市-台股動態,鴻華先進攜手聯發科技與NVIDIA 以先進AI打造智慧行車體驗,CNEWS匯流新聞網記者謝東明、李衣綸／台北報導 聯發科技今（1）日宣布，與鴻海集團旗下的鴻華先進（FOXTRON）策略合作，攜手加速AI賦能智慧汽車的創新演進。在此次的全球長期合作之下，策略合作夥伴,,https://tw.news.yahoo.com/%E9%B4%BB%E8%8F%AF%E5%85%88%E9%80%B2%E6%94%9C%E6%89%8B%E8%81%AF%E7%99%BC%E7%A7%91%E6%8A%80%E8%88%87nvidia-%E4%BB%A5%E5%85%88%E9%80%B2ai%E6%89%93%E9%80%A0%E6%99%BA%E6%85%A7%E8%A1%8C%E8%BB%8A%E9%AB%94%E9%A9%97-100404501.html,0.0,neutral
2026-06-01,2330.TW,台積電,Yahoo股市-台股動態,輝達狂飆近4%！美股早盤走低台積電ADR漲3%,[NOWNEWS今日新聞]人工智慧晶片大廠輝達（Nvidia）1日GTCTaipei2026大會開幕，宣布進入PC處理器市場，股價上漲，但美股1日開盤震盪，標普500指數下跌0.2%、那斯達克指數下跌,,https://tw.news.yahoo.com/%E8%BC%9D%E9%81%94%E7%8B%82%E9%A3%86%E8%BF%914-%E7%BE%8E%E8%82%A1%E6%97%A9%E7%9B%A4%E9%9C%87%E7%9B%AA%E5%8F%B0%E7%A9%8D%E9%9B%BBadr%E6%BC%B23-140817378.html,0.0,neutral
